time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-10T11:48:41.412Z,-5.2267,151.8945,37.158,5.6,mww,81,51,6.267,1.16,us,us6000mxpy,2024-05-11T11:52:25.794Z,"106 km SSW of Kokopo, Papua New Guinea",earthquake,9.53,5.358,0.066,22,reviewed,us,us
2024-05-10T07:45:18.233Z,24.191,121.8995,10.788,5.8,mww,92,27,0.674,0.72,us,us6000mxpi,2024-05-11T07:52:11.073Z,"38 km NE of Hualien City, Taiwan",earthquake,4.14,3.755,0.054,33,reviewed,us,us
2024-05-10T01:35:38.366Z,23.6561,121.678,10,5.1,mb,53,95,0.437,0.8,us,us6000mxn1,2024-05-10T08:05:27.420Z,"36 km SSE of Hualien City, Taiwan",earthquake,3.92,1.866,0.045,162,reviewed,us,us
2024-05-10T00:50:03.042Z,-14.9663,167.9735,11.498,5,mb,38,72,6.571,0.52,us,us6000mxmi,2024-05-10T01:18:03.040Z,"97 km E of Port-Olry, Vanuatu",earthquake,11.2,4.081,0.116,24,reviewed,us,us
2024-05-09T03:08:48.296Z,-15.1583,168.0251,10,5.1,mb,51,58,6.436,0.71,us,us6000mxcp,2024-05-09T03:25:18.040Z,"100 km ENE of Luganville, Vanuatu",earthquake,10.34,1.877,0.109,27,reviewed,us,us
2024-05-08T11:51:39.435Z,-15.1069,168.1303,10,5.2,mww,45,130,6.535,0.59,us,us6000mx7t,2024-05-08T12:09:36.040Z,"113 km ENE of Luganville, Vanuatu",earthquake,10.83,1.894,0.098,10,reviewed,us,us
2024-05-08T11:06:19.891Z,-15.2602,168.1213,10,5.4,mb,52,65,6.404,0.87,us,us6000mx7c,2024-05-09T11:10:40.329Z,"106 km ENE of Luganville, Vanuatu",earthquake,8.13,1.815,0.075,60,reviewed,us,us
2024-05-08T10:00:58.305Z,-21.3978,-68.3108,103.725,5.2,mww,62,32,1.153,0.98,us,us6000mx68,2024-05-08T10:15:31.040Z,"20 km SSW of Ollagüe, Chile",earthquake,6.34,5.726,0.071,19,reviewed,us,us
2024-05-08T08:17:15.442Z,-15.1394,167.9978,12.45,6.1,mww,76,33,6.438,1.3,us,us6000mx5c,2024-05-10T03:06:36.063Z,"99 km ENE of Luganville, Vanuatu",earthquake,5.62,3.564,0.045,48,reviewed,us,us
2024-05-07T23:28:25.014Z,-41.4222,-86.51,10,5,mww,38,148,9.869,0.79,us,us6000mx3q,2024-05-07T23:46:57.040Z,West Chile Rise,earthquake,11.12,1.905,0.069,20,reviewed,us,us
2024-05-07T14:34:58.560Z,-59.4179,-17.9661,10,5.6,mww,82,50,11.351,0.69,us,us6000mwyt,2024-05-09T22:05:16.054Z,east of the South Sandwich Islands,earthquake,11.22,1.828,0.098,10,reviewed,us,us
2024-05-07T13:12:56.380Z,5.7311,124.6666,51.544,5,mww,134,51,1.61,0.73,us,us6000mwy9,2024-05-09T21:11:35.478Z,"23 km SSW of Maan, Philippines",earthquake,6.67,4.818,0.093,11,reviewed,us,us
2024-05-07T08:03:03.016Z,11.3205,125.6988,61.986,5.1,mb,67,53,4.225,0.86,us,us6000mwwl,2024-05-07T12:00:30.032Z,"8 km E of Hernani, Philippines",earthquake,9.36,7.189,0.052,118,reviewed,us,us
2024-05-07T07:55:58.085Z,-57.5798,-26.0694,89.8,5.1,mb,36,80,6.72,0.93,us,us6000mwwk,2024-05-07T08:13:08.040Z,South Sandwich Islands region,earthquake,12.15,7.908,0.081,50,reviewed,us,us
2024-05-06T11:11:57.573Z,68.0065,-177.6181,10,5.3,mww,123,27,4.553,1.2,us,us6000mwnp,2024-05-13T06:21:21.040Z,"198 km NNE of Egvekinot, Russia",earthquake,8.58,1.829,0.045,47,reviewed,us,us
2024-05-06T09:52:45.708Z,23.7314,121.5507,28.867,5.4,mwr,116,32,0.41,1.1,us,us6000mwnh,2024-05-09T18:15:47.600Z,"27 km SSW of Hualien City, Taiwan",earthquake,3.49,3.501,0.061,26,reviewed,us,us
2024-05-06T09:45:30.617Z,23.7257,121.5806,19.958,5.6,mww,92,35,0.422,1.28,us,us6000mwnf,2024-05-10T08:43:16.614Z,"27 km S of Hualien City, Taiwan",earthquake,4.59,3.734,0.065,23,reviewed,us,us
2024-05-05T20:37:12.049Z,-3.3145,130.9335,10,5.6,mww,81,33,1.371,0.65,us,us6000mwkd,2024-05-06T20:42:55.739Z,"157 km WSW of Fakfak, Indonesia",earthquake,5.19,1.771,0.069,20,reviewed,us,us
